Address,Minted (W3API)
0xb1b7586656116d546033e3baff69bfcd6592225e,2045
0x639749b7b08aee65039c21d8a411103c6cebebf0,869
0x37341cbb14c5f128a70b149726ad8b2ce6f4c793,558
0x61ffe691821291d02e9ba5d33098adcee71a3a17,187
0x2e7f4dd3acd226ddae10246a45337f815cf6b3ff,177
0xa13ee4362f171b5c62be230e5eb2fee8c375b875,65
0x58b753f0c417494226af608b63e80028255cbc64,53
0xaa01dec5307cf17f20881a3286dcaa062578cea7,17
0x76bc4c780dd85558bc4b24a4f262f4eb0be78ca7,13
0xa15ca74e65bf72730811abf95163e89ad9b9dff6,12
0x36dbcbb5c90e9b00ab658353696610cc5d7b7002,2
0x5db06acd673531218b10430ba6de9b69913ad545,2
TOTAL,4000
